Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,18,Bent Viscaal,Netherlands,MP Motorsport,20,40:32.362,,,174.180,1:46.632,18
2,10,Lirim Zendeli,Germany,Trident,20,40:32.551,+ 0.189,+ 0.189,174.166,1:46.784,15
3,7,Théo Pourchaire,France,ART Grand Prix,20,40:40.757,+ 8.395,+ 8.206,173.581,1:47.212,15
4,11,David Beckmann,Germany,Trident,20,40:41.191,+ 8.829,+ 0.434,173.550,1:47.116,15
5,5,Liam Lawson,New Zealand,Hitech Grand Prix,20,40:41.210,+ 8.848,+ 0.019,173.549,1:47.161,9
6,1,Oscar Piastri,Australia,Prema Racing,20,40:41.588,+ 9.226,+ 0.378,173.522,1:47.052,8
7,15,Jake Hughes,Great Britain,HWA Racelab,20,40:43.104,+ 10.742,+ 1.516,173.414,1:46.990,8
8,2,Frederik Vesti,Denmark,Prema Racing,20,40:43.328,+ 10.966,+ 0.224,173.398,1:47.116,9
9,26,Clément Novalak,Great Britain,Carlin Buzz Racing,20,40:43.863,+ 11.501,+ 0.535,173.360,1:47.131,9
10,24,Igor Fraga,Brazil,Charouz Racing System,20,40:55.195,+ 22.833,+ 11.332,172.560,1:47.536,15
11,28,Cameron Das,USA,Carlin Buzz Racing,20,40:56.260,+ 23.898,+ 1.065,172.485,1:47.453,9
12,4,Max Fewtrell,Great Britain,Hitech Grand Prix,20,40:56.299,+ 23.937,+ 0.039,172.482,1:47.490,16
13,9,Sebastian Fernandez,Venezuela,ART Grand Prix,20,40:56.405,+ 24.043,+ 0.106,172.475,1:47.380,16
14,8,Alexander Smolyar,Russia,ART Grand Prix,20,40:57.280,+ 24.918,+ 0.875,172.414,1:46.999,16
15,23,Roman Stanek,Czech Republic,Charouz Racing System,20,40:57.803,+ 25.441,+ 0.523,172.377,1:47.355,14
16,22,Matteo Nannini,Italy,Jenzer Motorsport,20,40:58.369,+ 26.007,+ 0.566,172.337,1:47.326,14
17,14,Enzo Fittipaldi,Brazil,HWA Racelab,20,40:58.708,+ 26.346,+ 0.339,172.313,1:47.551,15
18,17,Richard Verschoor,Netherlands,MP Motorsport,20,40:58.724,+ 26.362,+ 0.016,172.312,1:47.571,15
19,31,Sophia Flörsch,Germany,Campos Racing,20,40:59.080,+ 26.718,+ 0.356,172.287,1:47.401,16
20,6,Dennis Hauger,Norway,Hitech Grand Prix,20,40:59.538,+ 27.176,+ 0.458,172.255,1:47.561,16
21,16,Jack Doohan,Australia,HWA Racelab,20,41:00.153,+ 27.791,+ 0.615,172.212,1:47.263,18
22,12,Olli Caldwell,,Trident,20,41:00.364,+ 28.002,+ 0.211,172.197,1:47.481,16
23,21,Federico Malvestiti,Italy,Jenzer Motorsport,20,41:00.494,+ 28.132,+ 0.130,172.188,1:47.425,19
24,29,Alex Peroni,Australia,Campos Racing,20,41:32.977,+ 1:00.615,+ 32.483,169.945,1:47.214,16
DNF,27,Ben Barnicoat,Great Britain,Carlin Buzz Racing,10,22:09.272,,,159.180,1:47.307,8
DNF,3,Logan Sargeant,USA,Prema Racing,10,22:47.783,,,154.698,1:47.464,8
DNF,30,Alessio Deledda,Italy,Campos Racing,2,6:33.906,,,106.453,,
DNF,25,David Schumacher,Germany,Charouz Racing System,1,2:25.102,,,142.831,,
DNF,19,Lukas Dunner,Austria,MP Motorsport,,,,,,,
DNF,20,Calan Williams,Australia,Jenzer Motorsport,,,,,,,
