POS.,CAR,DRIVER,TEAM,LAPS,BEST,GAP,IN
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,8,1:34.430,8
2,3,Pierre-Louis CHOVET,Pinnacle Motorsport,9,1:34.475,0.045,4
3,14,Roy NISSANY,Hitech Grand Prix,9,1:34.823,0.348,4
4,19,Jehan DARUVALA,Mumbai Falcons,8,1:34.855,0.032,6
5,6,Isack HADJAR,Evans GP,8,1:34.946,0.091,6
6,74,Cem BOLUKBASI,BlackArts Racing,8,1:35.017,0.071,5
7,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,8,1:35.067,0.05,5
8,28,Kush MAINI,Mumbai Falcons,8,1:35.123,0.056,7
9,11,Roman STANEK,Hitech Grand Prix,9,1:35.129,0.006,8
10,12,Ayumu IWASA,Hitech Grand Prix,5,1:35.135,0.006,4
11,7,Roberto FARIA,Motorscape,8,1:35.210,0.075,4
12,13,Reece USHIJIMA,Hitech Grand Prix,9,1:35.336,0.126,4
13,4,Patrik PASMA,Evans GP,8,1:35.453,0.117,8
14,10,Alessio DELEDDA,Pinnacle Motorsport,9,1:35.683,0.23,7
15,62,Lorenzo FLUXA,BlackArts Racing,10,1:35.704,0.021,9
16,8,Rafael VILLAGOMEZ,BlackArts Racing,9,1:35.774,0.07,7
17,77,Nicola MARINANGELI,Motorscape,9,1:35.793,0.019,8
18,66,Zdenek CHOVANEC,BlackArts Racing,9,1:35.838,0.045,4
19,5,Casper STEVENSON,Evans GP,8,1:35.874,0.036,5
20,25,Alexandre BARDINON,Pinnacle Motorsport,9,1:35.950,0.076,5
21,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,7,1:36.033,0.083,3
22,51,Irina SIDORKOVA,Evans GP,9,1:36.183,0.15,5
23,40,Matthias LUETHEN,Pinnacle Motorsport,9,1:36.789,0.606,3
