POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,16,30:23.367,1:53.432
2,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,16,30:26.552,3.185,1:53.582
3,6,Isack HADJAR,Evans GP,16,30:28.174,4.807,1:53.438
4,4,Patrik PASMA,Evans GP,16,30:34.711,11.344,1:53.866
5,3,Pierre-Louis CHOVET,Pinnacle Motorsport,16,30:35.559,12.192,1:53.800
6,11,Roman STANEK,Hitech Grand Prix,16,30:44.687,21.320,1:54.338
7,14,Roy NISSANY,Hitech Grand Prix,16,30:45.899,22.532,1:54.439
8,74,Cem BOLUKBASI,BlackArts Racing,16,30:48.833,25.466,1:54.291
9,12,Ayumu IWASA,Hitech Grand Prix,16,30:51.043,27.676,1:54.342
10,13,Reece USHIJIMA,Hitech Grand Prix,16,30:55.772,32.405,1:54.844
11,62,Lorenzo FLUXA,BlackArts Racing,16,30:58.049,34.682,1:54.659
12,28,Kush MAINI,Mumbai Falcons India Racing Ltd,16,30:59.022,35.655,1:54.380
13,5,Casper STEVENSON,Evans GP,16,31:00.365,36.998,1:55.027
14,77,Nicola MARINANGELI,Motorscape,16,31:09.068,45.701,1:55.597
15,25,Alexandre BARDINON,Pinnacle Motorsport,16,31:11.293,47.926,1:55.664
16,7,Roberto FARIA,Motorscape,16,31:17.523,54.156,1:54.976
17,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,16,31:19.841,56.474,1:56.233
18,40,Matthias LUETHEN,Pinnacle Motorsport,16,31:20.574,57.207,1:55.904
19,51,Irina SIDORKOVA,Evans GP,16,31:28.885,1:05.518,1:56.235
20,8,Rafael VILLAGOMEZ,BlackArts Racing,16,31:32.619,1:09.252,1:54.850
21,10,Alessio DELEDDA,Pinnacle Motorsport,13,32:30.145,3 laps,1:55.103
DNF,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,15,28:35.294,1 lap,1:53.628
