POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,19,30:38.0,1:35.922
2,14,Roy NISSANY,Hitech Grand Prix,19,30:44.6,6.997,1:36.428
3,19,Jehan DARUVALA,Mumbai Falcons,19,30:45.2,0.556,1:36.410
4,3,Pierre-Louis CHOVET,Pinnacle Motorsport,19,30:45.5,0.301,1:36.304
5,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,19,30:46.1,0.655,1:36.182
6,12,Ayumu IWASA,Hitech Grand Prix,19,30:48.5,2.352,1:36.346
7,74,Cem BOLUKBASI,BlackArts Racing,19,30:57.1,8.659,1:36.832
8,6,Isack HADJAR,Evans GP,19,30:57.5,0.371,1:36.324
9,4,Patrik PASMA,Evans GP,19,30:58.3,0.825,1:36.650
10,13,Reece USHIJIMA,Hitech Grand Prix,19,31:01.3,3.001,1:36.898
11,7,Roberto FARIA,Motorscape,19,31:02.0,0.617,1:37.012
12,11,Roman STANEK,Hitech Grand Prix,19,31:03.0,1.039,1:36.776
13,10,Alessio DELEDDA,Pinnacle Motorsport,19,31:04.6,1.604,1:36.643
14,62,Lorenzo FLUXA,BlackArts Racing,19,31:08.8,57:36.rd,1:36.881
15,77,Nicola MARINANGELI,Motorscape,19,31:13.3,4.587,1:37.242
16,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,19,31:16.2,2.81,1:37.527
17,5,Casper STEVENSON,Evans GP,19,31:19.7,3.522,1:37.485
18,25,Alexandre BARDINON,Pinnacle Motorsport,19,31:38.5,7.8,1:37.621
19,51,Irina SIDORKOVA,Evans GP,19,31:38.5,11.008,1:37.997
20,40,Matthias LUETHEN,Pinnacle Motorsport,19,31:45.7,7.233,1:37.716
21,28,Kush MAINI,Mumbai Falcons,18,31:47.3,1 Lap,1:36.096
DNF,8,Rafael VILLAGOMEZ,BlackArts Racing,1,02:46.9
DNS,66,Zdenek CHOVANEC,BlackArts Racing
